,a_max,file,mean_distance_10000,sigma,type
100,6305121,contrived_select_2511_128.tif,49.49288618593481,8,Contrived
101,6305121,contrived_select_2511_131072.tif,993.893062907731,8,Contrived
102,6305121,contrived_select_2511_16.tif,141.47138544767006,8,Contrived
103,6305121,contrived_select_2511_16384.tif,857.5319633079055,8,Contrived
104,6305121,contrived_select_2511_2.tif,405.0470117998606,8,Contrived
105,6305121,contrived_select_2511_2048.tif,20.3872343920958,8,Contrived
106,6305121,contrived_select_2511_256.tif,35.28373692567848,8,Contrived
107,6305121,contrived_select_2511_262144.tif,1042.333512139256,8,Contrived
108,6305121,contrived_select_2511_32.tif,103.12210399349198,8,Contrived
109,6305121,contrived_select_2511_32768.tif,1011.7485381783127,8,Contrived
110,6305121,contrived_select_2511_4.tif,286.42163004427954,8,Contrived
111,6305121,contrived_select_2511_4096.tif,157.26510239566483,8,Contrived
112,6305121,contrived_select_2511_512.tif,24.769988920173898,8,Contrived
113,6305121,contrived_select_2511_524288.tif,996.8649362463677,8,Contrived
114,6305121,contrived_select_2511_64.tif,68.76200768596757,8,Contrived
115,6305121,contrived_select_2511_65536.tif,993.6051203860238,8,Contrived
116,6305121,contrived_select_2511_8.tif,203.52457618086163,8,Contrived
117,6305121,contrived_select_2511_8192.tif,487.6978177595041,8,Contrived
118,63001,contrived_select_251_1.tif,54.68968322557416,8,Contrived
119,63001,contrived_select_251_1024.tif,1022.235128942317,8,Contrived
120,63001,contrived_select_251_128.tif,762.4622178658047,8,Contrived
121,63001,contrived_select_251_16.tif,19.0296160648337,8,Contrived
122,63001,contrived_select_251_2.tif,39.51292787342058,8,Contrived
123,63001,contrived_select_251_2048.tif,997.7852909629692,8,Contrived
124,63001,contrived_select_251_256.tif,963.220618370309,8,Contrived
125,63001,contrived_select_251_32.tif,105.92046390216099,8,Contrived
126,63001,contrived_select_251_4.tif,27.673884844019177,8,Contrived
127,63001,contrived_select_251_4096.tif,998.9810986495274,8,Contrived
128,63001,contrived_select_251_512.tif,1012.8984867710471,8,Contrived
129,63001,contrived_select_251_64.tif,362.21127105260314,8,Contrived
130,63001,contrived_select_251_8.tif,20.247887090535926,8,Contrived
131,63001,contrived_select_251_8192.tif,993.7677955489239,8,Contrived
132,625,contrived_select_25_1.tif,634.661496942046,8,Contrived
133,625,contrived_select_25_16.tif,990.2571112498988,8,Contrived
134,625,contrived_select_25_2.tif,766.1676172533537,8,Contrived
135,625,contrived_select_25_32.tif,990.2626569154381,8,Contrived
136,625,contrived_select_25_4.tif,1033.2480981934757,8,Contrived
137,625,contrived_select_25_64.tif,1018.1863580678872,8,Contrived
138,625,contrived_select_25_8.tif,1002.5708348011425,8,Contrived
139,15848361,contrived_select_3981_1.tif,729.7064061384602,8,Contrived
140,15848361,contrived_select_3981_1024.tif,27.24182727063362,8,Contrived
141,15848361,contrived_select_3981_1048576.tif,976.8020698925455,8,Contrived
142,15848361,contrived_select_3981_128.tif,79.49386159531655,8,Contrived
143,15848361,contrived_select_3981_131072.tif,991.5394991375515,8,Contrived
144,15848361,contrived_select_3981_16.tif,219.97572799644294,8,Contrived
145,15848361,contrived_select_3981_16384.tif,361.5341123909699,8,Contrived
146,15848361,contrived_select_3981_2.tif,605.7259239702574,8,Contrived
147,15848361,contrived_select_3981_2048.tif,19.315508085623158,8,Contrived
148,15848361,contrived_select_3981_2097152.tif,1019.1045081184719,8,Contrived
149,15848361,contrived_select_3981_256.tif,55.44079498675118,8,Contrived
150,15848361,contrived_select_3981_262144.tif,990.6656743551921,8,Contrived
151,15848361,contrived_select_3981_32.tif,161.1311261674438,8,Contrived
152,15848361,contrived_select_3981_32768.tif,746.7467392415376,8,Contrived
153,15848361,contrived_select_3981_4.tif,444.7915558354635,8,Contrived
154,15848361,contrived_select_3981_4096.tif,15.450011988170088,8,Contrived
155,15848361,contrived_select_3981_512.tif,39.227905463447335,8,Contrived
156,15848361,contrived_select_3981_524288.tif,996.6055367105284,8,Contrived
157,15848361,contrived_select_3981_64.tif,109.01653890701724,8,Contrived
158,15848361,contrived_select_3981_65536.tif,954.6202313312252,8,Contrived
159,15848361,contrived_select_3981_8.tif,324.0437102111909,8,Contrived
160,15848361,contrived_select_3981_8192.tif,90.21845677265884,8,Contrived
161,158404,contrived_select_398_1.tif,89.27364058549773,8,Contrived
162,158404,contrived_select_398_1024.tif,990.9877929272608,8,Contrived
163,158404,contrived_select_398_128.tif,252.14917555895698,8,Contrived
164,158404,contrived_select_398_16.tif,22.06796210426846,8,Contrived
