file sigma seed job richness
contrived_500_0.1_8.tif 2 227 145 36
contrived_500_0.1_8192.tif 2 228 145 138
contrived_500_0.2_1.tif 2 229 145 51
contrived_500_0.2_1024.tif 2 230 145 1025
contrived_500_0.2_128.tif 2 231 145 169
contrived_500_0.2_16.tif 2 232 145 56
contrived_500_0.2_16384.tif 2 233 145 132
contrived_500_0.2_2.tif 2 234 145 51
contrived_500_0.2_2048.tif 2 235 145 748
contrived_500_0.2_256.tif 2 236 145 288
contrived_500_0.2_32.tif 2 237 145 69
contrived_500_0.2_32768.tif 2 238 145 123
contrived_500_0.2_4.tif 2 239 145 50
contrived_500_0.2_4096.tif 2 240 145 232
contrived_500_0.2_512.tif 2 241 145 540
contrived_500_0.2_64.tif 2 242 145 110
contrived_500_0.2_8.tif 2 243 145 56
contrived_500_0.2_8192.tif 2 244 145 147
contrived_500_0.4_1.tif 2 245 145 104
contrived_500_0.4_1024.tif 2 246 145 447
contrived_500_0.4_128.tif 2 247 145 198
contrived_500_0.4_16.tif 2 248 145 121
contrived_500_0.4_16384.tif 2 249 145 190
contrived_500_0.4_2.tif 2 250 145 113
contrived_500_0.4_2048.tif 2 251 145 272
contrived_500_0.4_256.tif 2 252 145 337
contrived_500_0.4_32.tif 2 253 145 131
contrived_500_0.4_32768.tif 2 254 145 178
contrived_500_0.4_4.tif 2 255 145 97
contrived_500_0.4_4096.tif 2 256 145 202
contrived_500_0.4_512.tif 2 257 145 523
contrived_500_0.4_64.tif 2 258 145 169
contrived_500_0.4_65536.tif 2 259 145 178
contrived_500_0.4_8.tif 2 260 145 116
contrived_500_0.4_8192.tif 2 261 145 203
contrived_50_0.1_1.tif 2 262 145 1
contrived_50_0.1_128.tif 2 263 145 5
contrived_50_0.1_16.tif 2 264 145 13
contrived_50_0.1_2.tif 2 265 145 2
contrived_50_0.1_32.tif 2 266 145 7
contrived_50_0.1_4.tif 2 267 145 4
contrived_50_0.1_64.tif 2 268 145 3
contrived_50_0.1_8.tif 2 269 145 8
contrived_50_0.2_1.tif 2 270 145 1
contrived_50_0.2_128.tif 2 271 145 6
contrived_50_0.2_16.tif 2 272 145 12
contrived_50_0.2_2.tif 2 273 145 2
contrived_50_0.2_256.tif 2 274 145 6
contrived_50_0.2_32.tif 2 275 145 6
contrived_50_0.2_4.tif 2 276 145 4
contrived_50_0.2_64.tif 2 277 145 7
contrived_50_0.2_8.tif 2 278 145 7
contrived_50_0.4_1.tif 2 279 145 2
contrived_50_0.4_128.tif 2 280 145 11
contrived_50_0.4_16.tif 2 281 145 8
contrived_50_0.4_2.tif 2 282 145 3
contrived_50_0.4_256.tif 2 283 145 15
contrived_50_0.4_32.tif 2 284 145 8
contrived_50_0.4_4.tif 2 285 145 4
contrived_50_0.4_512.tif 2 286 145 14
contrived_50_0.4_64.tif 2 287 145 9
contrived_50_0.4_8.tif 2 288 145 5
