,a_max,map_file,mean_distance,number_steps,proportion_cover,seed,type
206,10000,random_10000_0.4_3.tif,632.6608954624589,1000,0.4,104,random
207,10000,random_10000_0.4_3.tif,1997.737485236,10000,0.4,104,random
208,10000,random_10000_0.4_4.tif,634.3923966894155,1000,0.4,105,random
209,10000,random_10000_0.4_4.tif,1966.2174829791777,10000,0.4,105,random
210,10000,random_10000_0.4_5.tif,648.1716801343747,1000,0.4,106,random
211,10000,random_10000_0.4_5.tif,2033.549091969968,10000,0.4,106,random
212,10000,random_10000_0.4_6.tif,639.6886958985173,1000,0.4,107,random
213,10000,random_10000_0.4_6.tif,1989.887567580713,10000,0.4,107,random
214,10000,random_10000_0.4_7.tif,632.3428299024965,1000,0.4,108,random
215,10000,random_10000_0.4_7.tif,1991.5088339254805,10000,0.4,108,random
216,10000,random_10000_0.4_8.tif,617.0645164363461,1000,0.4,109,random
217,10000,random_10000_0.4_8.tif,1977.0218893761225,10000,0.4,109,random
218,10000,random_10000_0.4_9.tif,626.5931274785637,1000,0.4,110,random
219,10000,random_10000_0.4_9.tif,2026.8013069502722,10000,0.4,110,random
220,10000,random_10000_0.8_0.tif,623.903307479943,1000,0.8,111,random
221,10000,random_10000_0.8_0.tif,2009.646438815331,10000,0.8,111,random
222,10000,random_10000_0.8_1.tif,640.0751913101549,1000,0.8,112,random
223,10000,random_10000_0.8_1.tif,1988.6623292868337,10000,0.8,112,random
224,10000,random_10000_0.8_2.tif,661.6540272217442,1000,0.8,113,random
225,10000,random_10000_0.8_2.tif,2041.7472840468458,10000,0.8,113,random
226,10000,random_10000_0.8_3.tif,638.723101024397,1000,0.8,114,random
227,10000,random_10000_0.8_3.tif,2034.588515096236,10000,0.8,114,random
228,10000,random_10000_0.8_4.tif,637.6781695525759,1000,0.8,115,random
229,10000,random_10000_0.8_4.tif,1974.0672903069676,10000,0.8,115,random
230,10000,random_10000_0.8_5.tif,644.9808481449727,1000,0.8,116,random
231,10000,random_10000_0.8_5.tif,2001.6050730609388,10000,0.8,116,random
