,map_file,richness,speciation,time
196,contrived_500_0.2_1024.tif,1512,False,2532.0
197,contrived_500_0.2_1024.tif,1523,False,2533.0
198,contrived_500_0.2_1024.tif,1530,False,2534.0
199,contrived_500_0.2_1024.tif,1526,False,2535.0
200,contrived_500_0.2_1024.tif,1526,False,2536.0
201,contrived_500_0.2_1024.tif,1521,False,2537.0
202,contrived_500_0.2_1024.tif,1520,False,2538.0
203,contrived_500_0.2_1024.tif,1509,False,2539.0
204,contrived_500_0.2_1024.tif,1500,False,2540.0
205,contrived_500_0.2_1024.tif,1500,False,2541.0
206,contrived_500_0.2_1024.tif,1508,False,2542.0
207,contrived_500_0.2_1024.tif,1510,False,2543.0
208,contrived_500_0.2_1024.tif,1513,False,2544.0
209,contrived_500_0.2_1024.tif,1515,False,2545.0
210,contrived_500_0.2_1024.tif,1509,False,2546.0
211,contrived_500_0.2_1024.tif,1516,False,2547.0
212,contrived_500_0.2_1024.tif,1517,False,2548.0
213,contrived_500_0.2_1024.tif,1527,False,2549.0
214,contrived_500_0.2_1024.tif,1519,False,2550.0
215,contrived_500_0.2_1024.tif,1525,False,2551.0
216,contrived_500_0.2_1024.tif,1530,False,2552.0
217,contrived_500_0.2_1024.tif,1529,False,2553.0
218,contrived_500_0.2_1024.tif,1534,False,2554.0
219,contrived_500_0.2_1024.tif,1529,False,2555.0
220,contrived_500_0.2_1024.tif,1523,False,2556.0
221,contrived_500_0.2_1024.tif,1521,False,2557.0
222,contrived_500_0.2_1024.tif,1520,False,2558.0
223,contrived_500_0.2_1024.tif,1530,False,2559.0
224,contrived_500_0.2_1024.tif,1536,False,2560.0
225,contrived_500_0.2_1024.tif,1534,False,2561.0
226,contrived_500_0.2_1024.tif,1534,False,2562.0
227,contrived_500_0.2_1024.tif,1533,False,2563.0
228,contrived_500_0.2_1024.tif,1528,False,2564.0
229,contrived_500_0.2_1024.tif,1537,False,2565.0
230,contrived_500_0.2_1024.tif,1531,False,2566.0
231,contrived_500_0.2_1024.tif,1527,False,2567.0
232,contrived_500_0.2_1024.tif,1520,False,2568.0
233,contrived_500_0.2_1024.tif,1525,False,2569.0
234,contrived_500_0.2_1024.tif,1516,False,2570.0
235,contrived_500_0.2_1024.tif,1509,False,2571.0
236,contrived_500_0.2_1024.tif,1513,False,2572.0
237,contrived_500_0.2_1024.tif,1518,False,2573.0
238,contrived_500_0.2_1024.tif,1527,False,2574.0
239,contrived_500_0.2_1024.tif,1523,False,2575.0
240,contrived_500_0.2_1024.tif,1530,False,2576.0
241,contrived_500_0.2_1024.tif,1519,False,2577.0
242,contrived_500_0.2_1024.tif,1519,False,2578.0
243,contrived_500_0.2_1024.tif,1524,False,2579.0
244,contrived_500_0.2_1024.tif,1525,False,2580.0
245,contrived_500_0.2_1024.tif,1531,False,2581.0
246,contrived_500_0.2_1024.tif,1534,False,2582.0
247,contrived_500_0.2_1024.tif,1539,False,2583.0
248,contrived_500_0.2_1024.tif,1530,False,2584.0
249,contrived_500_0.2_1024.tif,1526,False,2585.0
250,contrived_500_0.2_1024.tif,1531,False,2586.0
251,contrived_500_0.2_1024.tif,1519,False,2587.0
252,contrived_500_0.2_1024.tif,1526,False,2588.0
253,contrived_500_0.2_1024.tif,1512,False,2589.0
254,contrived_500_0.2_1024.tif,1518,False,2590.0
255,contrived_500_0.2_1024.tif,1511,False,2591.0
256,contrived_500_0.2_1024.tif,1514,False,2592.0
257,contrived_500_0.2_1024.tif,1519,False,2593.0
258,contrived_500_0.2_1024.tif,1512,False,2594.0
259,contrived_500_0.2_1024.tif,1523,False,2595.0
