file,size,sigma,seed,mean_dispersal,mean_distance_travelled,mean_distance_travelled_100,mean_distance_travelled_1000,mean_distance_travelled_10000,mean_distance_travelled_100000,stdev_dispersal,stdev_distance_travelled,stdev_distance_travelled_100,stdev_distance_travelled_1000
null,4472,1,60,1.2507531454181882,4.2543102933073165,12.90941698688672,41.096416894204324,130.02824960063296,405.3442476883237,0.65138164172,2.20926320937,6.35349927667,21.7629161295
null,4472,2,61,2.4967492055516978,7.957697452026714,23.63124836268747,89.43736897561476,239.78064956317013,810.3379407880409,1.3110320982,4.0972004176,11.8698820896,43.4998509276
null,4472,4,62,5.063235973152863,16.129399032627518,50.4047315238552,152.39883785731269,453.7808629316544,1724.082094003858,2.6594334366,8.20332169589,26.7170926564,77.2138214295
null,4472,8,63,10.034539464068425,31.58382182295576,102.4199003680426,310.86133469353064,1057.4628767161998,3353.633118071951,5.25395713042,16.4125013041,52.2885647977,155.497172298
null,4472,16,64,20.156757234949197,63.8759058176174,202.25277316016684,674.1288546896727,1993.187343422917,6639.1307354511555,10.476946309,33.2551147341,110.032157795,353.560203183
null,4472,32,65,39.87830312677779,125.15759430679549,374.20182317934575,1178.537035297273,3549.271672256297,11795.080039468829,21.0800064673,67.9405812997,196.775419017,634.746962523
null,6324,1,66,1.2615192969761837,4.136161149402594,14.002229834392228,40.48836463097477,138.03998494232764,388.19635848873986,0.656308890298,2.10906873908,6.44418805319,19.1969354197
null,6324,2,67,2.511604024810175,8.030864442180892,23.776167346183456,80.62291153798812,243.64841782154653,835.8949062075283,1.29169764055,4.16991802213,12.6072941715,39.8110052013
null,6324,4,68,4.990795795150977,16.486018531721598,50.62460863728525,153.85340129916875,498.0042174001087,1515.9493364882976,2.59830612007,8.68655242152,31.0909794043,81.4754620035
null,6324,8,69,10.07998754028505,31.541545551654877,106.61699022660851,318.1723301618971,981.416916177955,3148.9374626886606,5.25163535992,17.1981366494,61.3989201454,166.669728263
null,6324,16,70,20.033184950719118,60.937726117239606,193.14686386278606,584.4780022625929,2095.0499506723604,6858.6656367637825,10.4550374501,32.2842149612,100.747798884,320.180753436
null,6324,32,71,39.975997287205274,127.03490720467346,391.0257333212058,1238.003988549277,4186.512583996559,12969.998739593595,20.7417633782,64.9991488521,187.593272482,691.693128733
